turma,turno,aluno_numero,aulas_previstas,presencas,faltas,freq_maio,freq_junho,freq_julho,freq_agosto,frequencia_media,tendencia_pp,faltas_consecutivas_max,resultado_sintetico,origem_dado
7°A,Tarde,13,80,66,14,80.0,90.0,85.0,75.0,82.5,-5.0,2,Matriculado,chamada fictícia + rótulo sintético
7°A,Tarde,14,80,48,32,65.0,80.0,45.0,50.0,60.0,-15.0,5,Matriculado,chamada fictícia + rótulo sintético
7°A,Tarde,15,80,68,12,95.0,85.0,75.0,85.0,85.0,-10.0,2,Matriculado,chamada fictícia + rótulo sintético
7°A,Tarde,16,80,74,6,95.0,95.0,90.0,90.0,92.5,-5.0,1,Diplomado,chamada fictícia + rótulo sintético
7°A,Tarde,17,80,77,3,95.0,100.0,90.0,100.0,96.2,5.0,1,Diplomado,chamada fictícia + rótulo sintético
7°A,Tarde,18,80,66,14,90.0,75.0,75.0,90.0,82.5,0.0,2,Diplomado,chamada fictícia + rótulo sintético
7°A,Tarde,19,80,75,5,95.0,95.0,85.0,100.0,93.8,5.0,1,Diplomado,chamada fictícia + rótulo sintético
7°A,Tarde,20,80,68,12,90.0,85.0,75.0,90.0,85.0,0.0,2,Diplomado,chamada fictícia + rótulo sintético
7°A,Tarde,21,80,67,13,90.0,80.0,90.0,75.0,83.8,-15.0,3,Diplomado,chamada fictícia + rótulo sintético
7°A,Tarde,22,80,76,4,100.0,100.0,85.0,95.0,95.0,-5.0,1,Diplomado,chamada fictícia + rótulo sintético
7°A,Tarde,23,80,67,13,70.0,80.0,90.0,95.0,83.8,25.0,3,Matriculado,chamada fictícia + rótulo sintético
7°A,Tarde,24,80,68,12,90.0,80.0,90.0,80.0,85.0,-10.0,2,Diplomado,chamada fictícia + rótulo sintético
7°A,Tarde,25,80,45,35,80.0,60.0,40.0,45.0,56.2,-35.0,5,Evasão,chamada fictícia + rótulo sintético
7°A,Tarde,26,80,79,1,100.0,100.0,95.0,100.0,98.8,0.0,1,Diplomado,chamada fictícia + rótulo sintético
7°B,Manhã,2,64,44,20,80.0,70.0,71.4,52.9,68.6,-27.1,3,Evasão,chamada real + rótulo sintético
7°B,Manhã,3,64,61,3,100.0,95.0,100.0,88.2,95.8,-11.8,1,Evasão,chamada real + rótulo sintético
7°B,Manhã,4,65,10,6,62.5,,,,62.5,0.0,2,Diplomado,chamada real + rótulo sintético
7°B,Manhã,5,64,56,8,80.0,85.0,100.0,94.1,89.8,14.1,1,Diplomado,chamada real + rótulo sintético
7°B,Manhã,6,64,49,15,75.0,80.0,71.4,76.5,75.7,1.5,1,Diplomado,chamada real + rótulo sintético
7°B,Manhã,7,64,60,4,90.0,100.0,85.7,94.1,92.4,4.1,2,Diplomado,chamada real + rótulo sintético
7°B,Manhã,8,64,44,20,65.0,75.0,42.9,76.5,64.8,11.5,4,Diplomado,chamada real + rótulo sintético
7°B,Manhã,9,17,0,0,,,,,,0.0,0,Matriculado,chamada real + rótulo sintético
7°B,Manhã,10,64,55,9,100.0,80.0,85.7,76.5,85.6,-23.5,2,Matriculado,chamada real + rótulo sintético
7°B,Manhã,11,17,0,0,,,,,,0.0,0,Diplomado,chamada real + rótulo sintético
7°B,Manhã,12,64,59,5,90.0,95.0,85.7,94.1,91.2,4.1,2,Diplomado,chamada real + rótulo sintético
7°B,Manhã,13,64,53,11,85.0,90.0,85.7,70.6,82.8,-14.4,3,Diplomado,chamada real + rótulo sintético
7°B,Manhã,14,69,41,7,85.0,85.0,85.7,100.0,88.9,15.0,1,Diplomado,chamada real + rótulo sintético
7°B,Manhã,15,64,58,6,95.0,95.0,100.0,76.5,91.6,-18.5,2,Diplomado,chamada real + rótulo sintético
7°B,Manhã,16,18,0,1,0.0,,,,0.0,0.0,1,Matriculado,chamada real + rótulo sintético
7°B,Manhã,17,64,54,10,80.0,90.0,85.7,82.4,84.5,2.4,2,Diplomado,chamada real + rótulo sintético
7°B,Manhã,18,64,44,20,75.0,65.0,71.4,64.7,69.0,-10.3,2,Evasão,chamada real + rótulo sintético
7°B,Manhã,19,65,12,4,75.0,,,,75.0,0.0,1,Diplomado,chamada real + rótulo sintético
7°B,Manhã,20,68,28,17,80.0,60.0,0.0,,46.7,-80.0,8,Evasão,chamada real + rótulo sintético
7°B,Manhã,21,16,0,0,,,,,,0.0,0,Diplomado,chamada real + rótulo sintético
7°B,Manhã,22,64,40,24,60.0,60.0,85.7,58.8,66.1,-1.2,4,Matriculado,chamada real + rótulo sintético
7°B,Manhã,23,64,56,8,85.0,95.0,85.7,82.4,87.0,-2.6,2,Matriculado,chamada real + rótulo sintético
7°B,Manhã,24,64,29,35,75.0,45.0,42.9,11.8,43.7,-63.2,8,Evasão,chamada real + rótulo sintético
7°B,Manhã,25,64,55,9,80.0,85.0,100.0,88.2,88.3,8.2,2,Diplomado,chamada real + rótulo sintético
7°B,Manhã,26,64,44,20,80.0,50.0,100.0,64.7,73.7,-15.3,4,Matriculado,chamada real + rótulo sintético
7°B,Manhã,27,64,19,24,,47.4,42.9,41.2,43.8,-6.2,6,Evasão,chamada real + rótulo sintético
7°B,Tarde,1,80,47,33,70.0,70.0,45.0,50.0,58.8,-20.0,5,Evasão,chamada fictícia + rótulo sintético
7°B,Tarde,2,80,52,28,75.0,55.0,60.0,70.0,65.0,-5.0,3,Evasão,chamada fictícia + rótulo sintético
7°B,Tarde,3,80,75,5,95.0,85.0,95.0,100.0,93.8,5.0,2,Diplomado,chamada fictícia + rótulo sintético
7°B,Tarde,4,80,73,7,90.0,100.0,95.0,80.0,91.2,-10.0,2,Diplomado,chamada fictícia + rótulo sintético
7°B,Tarde,5,80,72,8,95.0,90.0,85.0,90.0,90.0,-5.0,1,Diplomado,chamada fictícia + rótulo sintético
7°B,Tarde,6,80,47,33,70.0,65.0,45.0,55.0,58.8,-15.0,6,Evasão,chamada fictícia + rótulo sintético
7°B,Tarde,7,80,66,14,65.0,85.0,90.0,90.0,82.5,25.0,1,Diplomado,chamada fictícia + rótulo sintético
7°B,Tarde,8,80,73,7,85.0,90.0,90.0,100.0,91.2,15.0,1,Diplomado,chamada fictícia + rótulo sintético
7°B,Tarde,9,80,45,35,60.0,65.0,70.0,30.0,56.2,-30.0,4,Matriculado,chamada fictícia + rótulo sintético
7°B,Tarde,10,80,45,35,75.0,70.0,45.0,35.0,56.2,-40.0,5,Matriculado,chamada fictícia + rótulo sintético
7°B,Tarde,11,80,73,7,95.0,90.0,95.0,85.0,91.2,-10.0,1,Diplomado,chamada fictícia + rótulo sintético
7°B,Tarde,12,80,78,2,95.0,100.0,100.0,95.0,97.5,0.0,1,Matriculado,chamada fictícia + rótulo sintético
7°B,Tarde,13,80,76,4,90.0,90.0,100.0,100.0,95.0,10.0,1,Diplomado,chamada fictícia + rótulo sintético
7°B,Tarde,14,80,77,3,95.0,100.0,95.0,95.0,96.2,0.0,1,Diplomado,chamada fictícia + rótulo sintético
7°B,Tarde,15,80,76,4,100.0,90.0,100.0,90.0,95.0,-10.0,1,Matriculado,chamada fictícia + rótulo sintético
7°B,Tarde,16,80,77,3,100.0,100.0,100.0,85.0,96.2,-15.0,1,Diplomado,chamada fictícia + rótulo sintético
7°B,Tarde,17,80,55,25,65.0,85.0,65.0,60.0,68.8,-5.0,3,Matriculado,chamada fictícia + rótulo sintético
7°B,Tarde,18,80,37,43,65.0,60.0,30.0,30.0,46.2,-35.0,6,Evasão,chamada fictícia + rótulo sintético
7°B,Tarde,19,80,73,7,100.0,90.0,90.0,85.0,91.2,-15.0,1,Diplomado,chamada fictícia + rótulo sintético
7°B,Tarde,20,80,73,7,90.0,90.0,90.0,95.0,91.2,5.0,1,Matriculado,chamada fictícia + rótulo sintético
7°B,Tarde,21,80,77,3,95.0,100.0,95.0,95.0,96.2,0.0,1,Diplomado,chamada fictícia + rótulo sintético
7°B,Tarde,22,80,78,2,100.0,95.0,100.0,95.0,97.5,-5.0,1,Diplomado,chamada fictícia + rótulo sintético
7°B,Tarde,23,80,65,15,95.0,85.0,80.0,65.0,81.2,-30.0,2,Matriculado,chamada fictícia + rótulo sintético
7°C,Manhã,2,66,47,19,90.0,55.0,57.1,73.7,69.0,-16.3,5,Matriculado,chamada real + rótulo sintético
7°C,Manhã,3,66,54,12,65.0,95.0,71.4,89.5,80.2,24.5,4,Diplomado,chamada real + rótulo sintético
7°C,Manhã,4,66,57,9,85.0,85.0,100.0,84.2,88.6,-0.8,2,Diplomado,chamada real + rótulo sintético
7°C,Manhã,5,66,58,8,95.0,95.0,71.4,78.9,85.1,-16.1,2,Diplomado,chamada real + rótulo sintético
7°C,Manhã,6,66,61,5,90.0,95.0,85.7,94.7,91.4,4.7,1,Evasão,chamada real + rótulo sintético
7°C,Manhã,7,69,14,6,70.0,,,,70.0,0.0,1,Diplomado,chamada real + rótulo sintético
7°C,Manhã,8,66,54,12,85.0,70.0,100.0,84.2,84.8,-0.8,3,Matriculado,chamada real + rótulo sintético
7°C,Manhã,9,69,7,30,35.0,0.0,,,17.5,-35.0,24,Evasão,chamada real + rótulo sintético
7°C,Manhã,10,66,54,12,95.0,80.0,85.7,68.4,82.3,-26.6,3,Matriculado,chamada real + rótulo sintético
7°C,Manhã,11,17,0,0,,,,,,0.0,0,Diplomado,chamada real + rótulo sintético
7°C,Manhã,12,17,0,0,,,,,,0.0,0,Diplomado,chamada real + rótulo sintético
7°C,Manhã,13,66,57,9,90.0,80.0,100.0,84.2,88.6,-5.8,3,Diplomado,chamada real + rótulo sintético
7°C,Manhã,14,66,59,7,90.0,90.0,100.0,84.2,91.0,-5.8,1,Matriculado,chamada real + rótulo sintético
7°C,Manhã,15,66,46,20,90.0,65.0,42.9,63.2,65.3,-26.8,5,Evasão,chamada real + rótulo sintético
7°C,Manhã,16,17,0,0,,,,,,0.0,0,Diplomado,chamada real + rótulo sintético
7°C,Manhã,17,66,55,11,90.0,90.0,71.4,73.7,81.3,-16.3,1,Evasão,chamada real + rótulo sintético
7°C,Manhã,18,66,62,4,100.0,95.0,85.7,89.5,92.6,-10.5,1,Matriculado,chamada real + rótulo sintético
7°C,Manhã,19,66,50,16,90.0,55.0,85.7,78.9,77.4,-11.1,5,Matriculado,chamada real + rótulo sintético
7°C,Manhã,20,66,43,23,70.0,60.0,85.7,57.9,68.4,-12.1,3,Evasão,chamada real + rótulo sintético
7°C,Manhã,21,66,59,7,95.0,95.0,71.4,84.2,86.4,-10.8,2,Diplomado,chamada real + rótulo sintético
7°C,Manhã,22,66,47,19,70.0,60.0,85.7,78.9,73.6,8.9,3,Diplomado,chamada real + rótulo sintético
7°C,Manhã,23,66,61,5,100.0,90.0,85.7,89.5,91.3,-10.5,2,Evasão,chamada real + rótulo sintético
7°C,Manhã,24,66,53,13,85.0,75.0,71.4,84.2,78.9,-0.8,1,Diplomado,chamada real + rótulo sintético
7°C,Manhã,25,15,0,0,,,,,,0.0,0,Diplomado,chamada real + rótulo sintético
7°C,Manhã,26,66,60,6,95.0,90.0,85.7,89.5,90.0,-5.5,1,Diplomado,chamada real + rótulo sintético
7°C,Manhã,27,66,63,3,95.0,95.0,100.0,94.7,96.2,-0.3,1,Diplomado,chamada real + rótulo sintético
7°C,Manhã,28,66,16,7,,,75.0,68.4,71.7,-6.6,2,Evasão,chamada real + rótulo sintético
7°C,Tarde,1,80,79,1,100.0,100.0,95.0,100.0,98.8,0.0,1,Diplomado,chamada fictícia + rótulo sintético
7°C,Tarde,2,80,44,36,65.0,65.0,40.0,50.0,55.0,-15.0,6,Diplomado,chamada fictícia + rótulo sintético
7°C,Tarde,3,80,76,4,90.0,95.0,100.0,95.0,95.0,5.0,1,Diplomado,chamada fictícia + rótulo sintético
7°C,Tarde,4,80,70,10,95.0,80.0,90.0,85.0,87.5,-10.0,1,Matriculado,chamada fictícia + rótulo sintético
7°C,Tarde,5,80,47,33,65.0,70.0,60.0,40.0,58.8,-25.0,8,Matriculado,chamada fictícia + rótulo sintético
7°C,Tarde,6,80,63,17,65.0,70.0,80.0,100.0,78.8,35.0,3,Diplomado,chamada fictícia + rótulo sintético
7°C,Tarde,7,80,76,4,100.0,95.0,90.0,95.0,95.0,-5.0,1,Matriculado,chamada fictícia + rótulo sintético
7°C,Tarde,8,80,77,3,90.0,95.0,100.0,100.0,96.2,10.0,1,Diplomado,chamada fictícia + rótulo sintético
7°C,Tarde,9,80,49,31,75.0,70.0,60.0,40.0,61.2,-35.0,3,Matriculado,chamada fictícia + rótulo sintético
7°C,Tarde,10,80,74,6,100.0,95.0,85.0,90.0,92.5,-10.0,1,Matriculado,chamada fictícia + rótulo sintético
7°C,Tarde,11,80,77,3,100.0,95.0,95.0,95.0,96.2,-5.0,1,Matriculado,chamada fictícia + rótulo sintético
7°C,Tarde,12,80,68,12,85.0,65.0,95.0,95.0,85.0,10.0,2,Matriculado,chamada fictícia + rótulo sintético
7°C,Tarde,13,80,77,3,100.0,90.0,100.0,95.0,96.2,-5.0,2,Diplomado,chamada fictícia + rótulo sintético
7°C,Tarde,14,80,44,36,70.0,80.0,40.0,30.0,55.0,-40.0,5,Matriculado,chamada fictícia + rótulo sintético
7°C,Tarde,15,80,76,4,100.0,95.0,95.0,90.0,95.0,-10.0,2,Evasão,chamada fictícia + rótulo sintético
7°C,Tarde,16,80,50,30,75.0,70.0,50.0,55.0,62.5,-20.0,3,Evasão,chamada fictícia + rótulo sintético
7°C,Tarde,17,80,66,14,95.0,65.0,90.0,80.0,82.5,-15.0,2,Matriculado,chamada fictícia + rótulo sintético
7°C,Tarde,18,80,78,2,100.0,95.0,100.0,95.0,97.5,-5.0,1,Matriculado,chamada fictícia + rótulo sintético
7°C,Tarde,19,80,78,2,95.0,100.0,95.0,100.0,97.5,5.0,1,Matriculado,chamada fictícia + rótulo sintético
7°C,Tarde,20,80,76,4,95.0,95.0,95.0,95.0,95.0,0.0,1,Evasão,chamada fictícia + rótulo sintético
7°C,Tarde,21,80,65,15,85.0,80.0,80.0,80.0,81.2,-5.0,2,Matriculado,chamada fictícia + rótulo sintético
7°C,Tarde,22,80,43,37,50.0,60.0,35.0,70.0,53.8,20.0,7,Matriculado,chamada fictícia + rótulo sintético
7°C,Tarde,23,80,43,37,70.0,55.0,45.0,45.0,53.8,-25.0,4,Evasão,chamada fictícia + rótulo sintético
7°D,Manhã,2,69,65,4,95.0,90.0,100.0,95.5,95.1,0.5,1,Matriculado,chamada real + rótulo sintético
7°D,Manhã,3,69,58,11,95.0,85.0,57.1,81.8,79.7,-13.2,2,Matriculado,chamada real + rótulo sintético
7°D,Manhã,4,69,62,7,80.0,85.0,100.0,100.0,91.2,20.0,2,Diplomado,chamada real + rótulo sintético
7°D,Manhã,5,69,54,15,80.0,80.0,85.7,72.7,79.6,-7.3,1,Diplomado,chamada real + rótulo sintético
7°D,Manhã,6,69,47,22,65.0,60.0,100.0,68.2,73.3,3.2,3,Diplomado,chamada real + rótulo sintético
7°D,Manhã,7,69,62,7,95.0,90.0,85.7,86.4,89.3,-8.6,2,Diplomado,chamada real + rótulo sintético
7°D,Manhã,8,22,0,0,,,,,,0.0,0,Evasão,chamada real + rótulo sintético
7°D,Manhã,9,22,0,0,,,,,,0.0,0,Diplomado,chamada real + rótulo sintético
7°D,Manhã,10,22,0,0,,,,,,0.0,0,Diplomado,chamada real + rótulo sintético
7°D,Manhã,11,69,66,3,100.0,95.0,85.7,95.5,94.0,-4.5,1,Diplomado,chamada real + rótulo sintético
7°D,Manhã,12,69,51,18,65.0,75.0,57.1,86.4,70.9,21.4,2,Diplomado,chamada real + rótulo sintético
7°D,Manhã,13,22,0,0,,,,,,0.0,0,Diplomado,chamada real + rótulo sintético
7°D,Manhã,14,69,32,37,65.0,60.0,57.1,13.6,48.9,-51.4,17,Matriculado,chamada real + rótulo sintético
7°D,Manhã,15,69,53,16,85.0,70.0,57.1,81.8,73.5,-3.2,5,Diplomado,chamada real + rótulo sintético
7°D,Manhã,16,69,65,4,100.0,85.0,85.7,100.0,92.7,0.0,2,Evasão,chamada real + rótulo sintético
7°D,Manhã,17,69,59,10,80.0,85.0,85.7,90.9,85.4,10.9,3,Diplomado,chamada real + rótulo sintético
7°D,Manhã,18,69,65,4,95.0,95.0,71.4,100.0,90.4,5.0,1,Diplomado,chamada real + rótulo sintético
7°D,Manhã,19,69,59,10,95.0,75.0,71.4,90.9,83.1,-4.1,2,Matriculado,chamada real + rótulo sintético
7°D,Manhã,20,69,65,4,95.0,95.0,100.0,90.9,95.2,-4.1,1,Diplomado,chamada real + rótulo sintético
7°D,Manhã,21,69,62,7,90.0,80.0,85.7,100.0,88.9,10.0,1,Matriculado,chamada real + rótulo sintético
7°D,Manhã,22,69,65,4,100.0,85.0,100.0,95.5,95.1,-4.5,2,Diplomado,chamada real + rótulo sintético
7°D,Manhã,23,69,61,8,85.0,95.0,71.4,90.9,85.6,5.9,3,Matriculado,chamada real + rótulo sintético
7°D,Manhã,24,69,62,7,80.0,90.0,100.0,95.5,91.4,15.5,3,Diplomado,chamada real + rótulo sintético
7°D,Manhã,25,69,43,26,95.0,0.0,57.1,90.9,60.8,-4.1,23,Evasão,chamada real + rótulo sintético
7°D,Manhã,26,69,47,22,65.0,60.0,71.4,77.3,68.4,12.3,2,Evasão,chamada real + rótulo sintético
7°D,Manhã,27,69,59,10,95.0,75.0,85.7,86.4,85.5,-8.6,2,Diplomado,chamada real + rótulo sintético
7°D,Tarde,1,80,46,34,70.0,65.0,50.0,45.0,57.5,-25.0,4,Evasão,chamada fictícia + rótulo sintético
7°D,Tarde,2,80,72,8,100.0,90.0,95.0,75.0,90.0,-25.0,1,Matriculado,chamada fictícia + rótulo sintético
7°D,Tarde,3,80,80,0,100.0,100.0,100.0,100.0,100.0,0.0,0,Diplomado,chamada fictícia + rótulo sintético
7°D,Tarde,4,80,76,4,95.0,100.0,90.0,95.0,95.0,0.0,1,Matriculado,chamada fictícia + rótulo sintético
7°D,Tarde,5,80,65,15,75.0,80.0,80.0,90.0,81.2,15.0,3,Evasão,chamada fictícia + rótulo sintético
7°D,Tarde,6,80,72,8,85.0,85.0,90.0,100.0,90.0,15.0,1,Diplomado,chamada fictícia + rótulo sintético
7°D,Tarde,7,80,69,11,80.0,85.0,90.0,90.0,86.2,10.0,2,Diplomado,chamada fictícia + rótulo sintético
7°D,Tarde,8,80,52,28,75.0,70.0,45.0,70.0,65.0,-5.0,4,Evasão,chamada fictícia + rótulo sintético
7°D,Tarde,9,80,65,15,85.0,80.0,80.0,80.0,81.2,-5.0,2,Diplomado,chamada fictícia + rótulo sintético
7°D,Tarde,10,80,77,3,95.0,95.0,95.0,100.0,96.2,5.0,1,Diplomado,chamada fictícia + rótulo sintético
7°D,Tarde,11,80,70,10,90.0,85.0,90.0,85.0,87.5,-5.0,2,Matriculado,chamada fictícia + rótulo sintético
7°D,Tarde,12,80,78,2,95.0,95.0,100.0,100.0,97.5,5.0,1,Diplomado,chamada fictícia + rótulo sintético
7°D,Tarde,13,80,78,2,95.0,100.0,95.0,100.0,97.5,5.0,1,Diplomado,chamada fictícia + rótulo sintético
7°D,Tarde,14,80,44,36,60.0,60.0,50.0,50.0,55.0,-10.0,4,Evasão,chamada fictícia + rótulo sintético
7°D,Tarde,15,80,47,33,75.0,65.0,40.0,55.0,58.8,-20.0,4,Evasão,chamada fictícia + rótulo sintético
7°D,Tarde,16,80,75,5,95.0,95.0,85.0,100.0,93.8,5.0,1,Diplomado,chamada fictícia + rótulo sintético
7°D,Tarde,17,80,80,0,100.0,100.0,100.0,100.0,100.0,0.0,0,Diplomado,chamada fictícia + rótulo sintético
7°D,Tarde,18,80,44,36,65.0,70.0,35.0,50.0,55.0,-15.0,6,Evasão,chamada fictícia + rótulo sintético
7°D,Tarde,19,80,70,10,75.0,85.0,95.0,95.0,87.5,20.0,2,Diplomado,chamada fictícia + rótulo sintético
7°D,Tarde,20,80,65,15,70.0,90.0,90.0,75.0,81.2,5.0,2,Diplomado,chamada fictícia + rótulo sintético
7°D,Tarde,21,80,77,3,95.0,95.0,95.0,100.0,96.2,5.0,1,Diplomado,chamada fictícia + rótulo sintético
7°D,Tarde,22,80,68,12,90.0,80.0,80.0,90.0,85.0,0.0,2,Matriculado,chamada fictícia + rótulo sintético
