turma,aluno_numero,data,status
7°A,9,2026-08-26,
7°A,9,2026-08-27,
7°A,9,2026-08-28,
7°A,9,2026-08-31,
7°A,10,2026-05-04,P
7°A,10,2026-05-05,P
7°A,10,2026-05-06,P
7°A,10,2026-05-07,P
7°A,10,2026-05-08,P
7°A,10,2026-05-11,P
7°A,10,2026-05-12,P
7°A,10,2026-05-13,P
7°A,10,2026-05-14,P
7°A,10,2026-05-15,P
7°A,10,2026-05-18,P
7°A,10,2026-05-19,P
7°A,10,2026-05-20,P
7°A,10,2026-05-21,P
7°A,10,2026-05-22,P
7°A,10,2026-05-25,F
7°A,10,2026-05-26,F
7°A,10,2026-05-27,P
7°A,10,2026-05-28,P
7°A,10,2026-05-29,P
7°A,10,2026-06-01,P
7°A,10,2026-06-02,P
7°A,10,2026-06-03,P
7°A,10,2026-06-08,P
7°A,10,2026-06-09,F
7°A,10,2026-06-10,P
7°A,10,2026-06-11,F
7°A,10,2026-06-12,F
7°A,10,2026-06-15,P
7°A,10,2026-06-16,P
7°A,10,2026-06-17,P
7°A,10,2026-06-18,F
7°A,10,2026-06-19,P
7°A,10,2026-06-22,P
7°A,10,2026-06-23,P
7°A,10,2026-06-24,P
7°A,10,2026-06-25,P
7°A,10,2026-06-26,P
7°A,10,2026-06-29,P
7°A,10,2026-06-30,P
7°A,10,2026-07-01,P
7°A,10,2026-07-02,P
7°A,10,2026-07-03,P
7°A,10,2026-07-28,P
7°A,10,2026-07-29,P
7°A,10,2026-07-30,P
7°A,10,2026-07-31,P
7°A,10,2026-08-03,P
7°A,10,2026-08-04,P
7°A,10,2026-08-05,P
7°A,10,2026-08-06,P
7°A,10,2026-08-07,P
7°A,10,2026-08-10,F
7°A,10,2026-08-11,F
7°A,10,2026-08-12,F
7°A,10,2026-08-13,P
7°A,10,2026-08-14,P
7°A,10,2026-08-17,P
7°A,10,2026-08-18,P
7°A,10,2026-08-19,P
7°A,10,2026-08-20,P
7°A,10,2026-08-21,P
7°A,10,2026-08-22,P
7°A,10,2026-08-24,P
7°A,10,2026-08-25,P
7°A,10,2026-08-26,P
7°A,10,2026-08-27,P
7°A,10,2026-08-28,P
7°A,10,2026-08-31,P
7°A,11,2026-05-27,
7°A,11,2026-06-03,
7°A,11,2026-06-08,
7°A,11,2026-06-10,
7°A,11,2026-06-12,
7°A,11,2026-06-17,
7°A,11,2026-06-19,
7°A,11,2026-06-24,
7°A,11,2026-06-26,
7°A,11,2026-06-30,
7°A,11,2026-07-01,
7°A,11,2026-07-29,
7°A,11,2026-08-07,
7°A,11,2026-08-11,
7°A,11,2026-08-12,
7°A,11,2026-08-13,
7°A,11,2026-08-14,
7°A,11,2026-08-17,
7°A,11,2026-08-18,
7°A,11,2026-08-19,
7°A,11,2026-08-21,
7°A,11,2026-08-24,
7°A,11,2026-08-27,
7°A,11,2026-08-28,
7°A,12,2026-05-04,P
7°A,12,2026-05-05,P
7°A,12,2026-05-06,P
7°A,12,2026-05-07,P
7°A,12,2026-05-08,P
7°A,12,2026-05-11,P
7°A,12,2026-05-12,P
7°A,12,2026-05-13,P
7°A,12,2026-05-14,P
7°A,12,2026-05-15,P
7°A,12,2026-05-18,P
7°A,12,2026-05-19,P
7°A,12,2026-05-20,P
7°A,12,2026-05-21,P
7°A,12,2026-05-22,F
7°A,12,2026-05-25,P
7°A,12,2026-05-26,P
7°A,12,2026-05-27,F
7°A,12,2026-05-28,P
7°A,12,2026-05-29,F
7°A,12,2026-06-01,P
7°A,12,2026-06-02,P
7°A,12,2026-06-03,P
7°A,12,2026-06-08,P
7°A,12,2026-06-09,P
7°A,12,2026-06-10,P
7°A,12,2026-06-11,F
7°A,12,2026-06-12,F
7°A,12,2026-06-15,P
7°A,12,2026-06-16,P
7°A,12,2026-06-17,P
7°A,12,2026-06-18,P
7°A,12,2026-06-19,F
7°A,12,2026-06-22,F
7°A,12,2026-06-23,P
7°A,12,2026-06-24,F
7°A,12,2026-06-25,F
7°A,12,2026-06-26,P
7°A,12,2026-06-29,P
7°A,12,2026-06-30,P
7°A,12,2026-07-01,P
7°A,12,2026-07-02,P
7°A,12,2026-07-03,P
7°A,12,2026-07-28,P
7°A,12,2026-07-29,P
7°A,12,2026-07-30,P
7°A,12,2026-07-31,P
7°A,12,2026-08-03,P
7°A,12,2026-08-04,P
7°A,12,2026-08-05,P
7°A,12,2026-08-06,P
7°A,12,2026-08-07,P
7°A,12,2026-08-10,P
7°A,12,2026-08-11,P
7°A,12,2026-08-12,P
7°A,12,2026-08-13,P
7°A,12,2026-08-14,P
7°A,12,2026-08-17,P
7°A,12,2026-08-18,P
7°A,12,2026-08-19,P
7°A,12,2026-08-20,P
7°A,12,2026-08-21,P
7°A,12,2026-08-22,P
7°A,12,2026-08-24,P
7°A,12,2026-08-25,P
7°A,12,2026-08-26,P
7°A,12,2026-08-27,P
7°A,12,2026-08-28,P
7°A,12,2026-08-31,P
7°A,13,2026-05-04,P
7°A,13,2026-05-05,F
7°A,13,2026-05-06,P
7°A,13,2026-05-07,P
7°A,13,2026-05-08,F
7°A,13,2026-05-11,P
7°A,13,2026-05-12,P
7°A,13,2026-05-13,P
7°A,13,2026-05-14,P
7°A,13,2026-05-15,P
7°A,13,2026-05-18,P
7°A,13,2026-05-19,P
7°A,13,2026-05-20,P
7°A,13,2026-05-21,P
7°A,13,2026-05-22,F
7°A,13,2026-05-25,P
7°A,13,2026-05-26,P
7°A,13,2026-05-27,F
7°A,13,2026-05-28,P
7°A,13,2026-05-29,P
7°A,13,2026-06-01,P
7°A,13,2026-06-02,F
7°A,13,2026-06-03,F
7°A,13,2026-06-08,P
7°A,13,2026-06-09,P
7°A,13,2026-06-10,P
7°A,13,2026-06-11,P
7°A,13,2026-06-12,P
7°A,13,2026-06-15,P
7°A,13,2026-06-16,P
7°A,13,2026-06-17,P
7°A,13,2026-06-18,F
7°A,13,2026-06-19,F
7°A,13,2026-06-22,P
7°A,13,2026-06-23,P
7°A,13,2026-06-24,F
7°A,13,2026-06-25,P
7°A,13,2026-06-26,F
7°A,13,2026-06-29,F
7°A,13,2026-06-30,F
7°A,13,2026-07-01,P
7°A,13,2026-07-02,F
7°A,13,2026-07-03,P
7°A,13,2026-07-28,P
7°A,13,2026-07-29,P
7°A,13,2026-07-30,P
7°A,13,2026-07-31,F
7°A,13,2026-08-03,P
7°A,13,2026-08-04,P
7°A,13,2026-08-05,P
7°A,13,2026-08-06,F
7°A,13,2026-08-07,P
7°A,13,2026-08-10,P
7°A,13,2026-08-11,F
7°A,13,2026-08-12,F
7°A,13,2026-08-13,P
7°A,13,2026-08-14,P
7°A,13,2026-08-17,P
7°A,13,2026-08-18,F
7°A,13,2026-08-19,P
7°A,13,2026-08-20,P
7°A,13,2026-08-21,P
7°A,13,2026-08-22,P
7°A,13,2026-08-24,P
7°A,13,2026-08-25,F
7°A,13,2026-08-26,P
7°A,13,2026-08-27,P
7°A,13,2026-08-28,P
7°A,13,2026-08-31,F
7°A,14,2026-05-04,P
7°A,14,2026-05-05,P
7°A,14,2026-05-06,F
7°A,14,2026-05-07,P
7°A,14,2026-05-08,P
7°A,14,2026-05-11,P
7°A,14,2026-05-12,P
7°A,14,2026-05-13,P
7°A,14,2026-05-14,P
7°A,14,2026-05-15,P
7°A,14,2026-05-18,P
7°A,14,2026-05-19,P
7°A,14,2026-05-20,P
7°A,14,2026-05-21,F
7°A,14,2026-05-22,P
7°A,14,2026-05-25,P
7°A,14,2026-05-26,P
7°A,14,2026-05-27,P
7°A,14,2026-05-28,P
7°A,14,2026-05-29,F
7°A,14,2026-06-01,P
7°A,14,2026-06-02,P
7°A,14,2026-06-03,P
7°A,14,2026-06-08,F
7°A,14,2026-06-09,P
7°A,14,2026-06-10,P
7°A,14,2026-06-11,P
7°A,14,2026-06-12,P
7°A,14,2026-06-15,P
7°A,14,2026-06-16,P
7°A,14,2026-06-17,P
7°A,14,2026-06-18,F
7°A,14,2026-06-19,P
7°A,14,2026-06-22,F
7°A,14,2026-06-23,P
7°A,14,2026-06-24,P
7°A,14,2026-06-25,P
7°A,14,2026-06-26,F
7°A,14,2026-06-29,P
7°A,14,2026-06-30,P
7°A,14,2026-07-01,P
7°A,14,2026-07-02,F
7°A,14,2026-07-03,P
7°A,14,2026-07-28,P
7°A,14,2026-07-29,P
7°A,14,2026-07-30,P
7°A,14,2026-07-31,P
7°A,14,2026-08-03,P
7°A,14,2026-08-04,P
7°A,14,2026-08-05,F
7°A,14,2026-08-06,P
7°A,14,2026-08-07,P
7°A,14,2026-08-10,P
7°A,14,2026-08-11,P
7°A,14,2026-08-12,F
7°A,14,2026-08-13,P
7°A,14,2026-08-14,F
7°A,14,2026-08-17,P
7°A,14,2026-08-18,P
7°A,14,2026-08-19,P
7°A,14,2026-08-20,F
7°A,14,2026-08-21,P
7°A,14,2026-08-22,P
7°A,14,2026-08-24,P
7°A,14,2026-08-25,F
7°A,14,2026-08-26,P
7°A,14,2026-08-27,P
7°A,14,2026-08-28,F
7°A,14,2026-08-31,P
7°A,15,2026-05-04,P
7°A,15,2026-05-05,P
7°A,15,2026-05-06,P
7°A,15,2026-05-07,P
7°A,15,2026-05-08,P
7°A,15,2026-05-11,P
7°A,15,2026-05-12,P
7°A,15,2026-05-13,P
7°A,15,2026-05-14,F
7°A,15,2026-05-15,P
7°A,15,2026-05-18,P
7°A,15,2026-05-19,P
7°A,15,2026-05-20,P
7°A,15,2026-05-21,P
7°A,15,2026-05-22,P
7°A,15,2026-05-25,P
7°A,15,2026-05-26,P
7°A,15,2026-05-27,F
7°A,15,2026-05-28,P
7°A,15,2026-05-29,P
7°A,15,2026-06-01,P
7°A,15,2026-06-02,P
7°A,15,2026-06-03,P
7°A,15,2026-06-08,P
7°A,15,2026-06-09,P
7°A,15,2026-06-10,P
7°A,15,2026-06-11,P
7°A,15,2026-06-12,P
7°A,15,2026-06-15,F
7°A,15,2026-06-16,F
7°A,15,2026-06-17,P
7°A,15,2026-06-18,P
7°A,15,2026-06-19,P
7°A,15,2026-06-22,F
7°A,15,2026-06-23,P
7°A,15,2026-06-24,F
7°A,15,2026-06-25,P
7°A,15,2026-06-26,P
7°A,15,2026-06-29,P
7°A,15,2026-06-30,P
7°A,15,2026-07-01,P
7°A,15,2026-07-02,F
7°A,15,2026-07-03,P
7°A,15,2026-07-28,P
7°A,15,2026-07-29,P
7°A,15,2026-07-30,P
7°A,15,2026-07-31,F
7°A,15,2026-08-03,P
7°A,15,2026-08-04,F
7°A,15,2026-08-05,P
7°A,15,2026-08-06,P
7°A,15,2026-08-07,P
7°A,15,2026-08-10,F
7°A,15,2026-08-11,F
7°A,15,2026-08-12,P
7°A,15,2026-08-13,P
7°A,15,2026-08-14,P
7°A,15,2026-08-17,F
7°A,15,2026-08-18,P
7°A,15,2026-08-19,P
7°A,15,2026-08-20,P
7°A,15,2026-08-21,P
7°A,15,2026-08-22,P
7°A,15,2026-08-24,P
7°A,15,2026-08-25,F
7°A,15,2026-08-26,P
7°A,15,2026-08-27,P
7°A,15,2026-08-28,F
7°A,15,2026-08-31,P
7°A,16,2026-05-04,P
7°A,16,2026-05-05,F
7°A,16,2026-05-06,P
7°A,16,2026-05-07,P
7°A,16,2026-05-08,P
7°A,16,2026-05-11,P
7°A,16,2026-05-12,P
7°A,16,2026-05-13,P
7°A,16,2026-05-14,P
7°A,16,2026-05-15,P
7°A,16,2026-05-18,P
7°A,16,2026-05-19,P
7°A,16,2026-05-20,P
7°A,16,2026-05-21,P
7°A,16,2026-05-22,P
7°A,16,2026-05-25,P
7°A,16,2026-05-26,P
7°A,16,2026-05-27,P
7°A,16,2026-05-28,P
7°A,16,2026-05-29,P
7°A,16,2026-06-01,P
7°A,16,2026-06-02,P
7°A,16,2026-06-03,P
7°A,16,2026-06-08,P
7°A,16,2026-06-09,P
7°A,16,2026-06-10,P
7°A,16,2026-06-11,F
7°A,16,2026-06-12,P
7°A,16,2026-06-15,P
7°A,16,2026-06-16,P
7°A,16,2026-06-17,P
7°A,16,2026-06-18,P
7°A,16,2026-06-19,P
7°A,16,2026-06-22,P
7°A,16,2026-06-23,P
7°A,16,2026-06-24,F
7°A,16,2026-06-25,P
7°A,16,2026-06-26,P
7°A,16,2026-06-29,P
7°A,16,2026-06-30,P
7°A,16,2026-07-01,F
7°A,16,2026-07-02,P
7°A,16,2026-07-03,P
7°A,16,2026-07-28,P
7°A,16,2026-07-29,P
7°A,16,2026-07-30,P
7°A,16,2026-07-31,P
7°A,16,2026-08-03,P
7°A,16,2026-08-04,P
7°A,16,2026-08-05,F
7°A,16,2026-08-06,P
7°A,16,2026-08-07,P
7°A,16,2026-08-10,F
7°A,16,2026-08-11,P
7°A,16,2026-08-12,P
7°A,16,2026-08-13,P
7°A,16,2026-08-14,F
7°A,16,2026-08-17,P
7°A,16,2026-08-18,P
7°A,16,2026-08-19,P
7°A,16,2026-08-20,P
7°A,16,2026-08-21,P
7°A,16,2026-08-22,P
