turma,aluno_numero,mes,aulas_previstas,presencas,faltas,frequencia_pct,tem_dados_no_mes,risco_abaixo_75pct,origem,serie
6°A,20,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°A,20,AGOSTO,20,17,3,85.0,True,False,fictício,6º ano
6°A,21,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°A,21,JUNHO,20,18,2,90.0,True,False,fictício,6º ano
6°A,21,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°A,21,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°A,22,MAIO,20,18,2,90.0,True,False,fictício,6º ano
6°A,22,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°A,22,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°A,22,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°A,23,MAIO,20,15,5,75.0,True,False,fictício,6º ano
6°A,23,JUNHO,20,15,5,75.0,True,False,fictício,6º ano
6°A,23,JULHO,20,13,7,65.0,True,True,fictício,6º ano
6°A,23,AGOSTO,20,9,11,45.0,True,True,fictício,6º ano
6°A,24,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°A,24,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°A,24,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°A,24,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°A,25,MAIO,20,15,5,75.0,True,False,fictício,6º ano
6°A,25,JUNHO,20,15,5,75.0,True,False,fictício,6º ano
6°A,25,JULHO,20,16,4,80.0,True,False,fictício,6º ano
6°A,25,AGOSTO,20,11,9,55.0,True,True,fictício,6º ano
6°A,26,MAIO,20,12,8,60.0,True,True,fictício,6º ano
6°A,26,JUNHO,20,13,7,65.0,True,True,fictício,6º ano
6°A,26,JULHO,20,14,6,70.0,True,True,fictício,6º ano
6°A,26,AGOSTO,20,9,11,45.0,True,True,fictício,6º ano
6°A,27,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°A,27,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°A,27,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°A,27,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°A,28,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°A,28,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°A,28,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°A,28,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°B,1,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°B,1,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°B,1,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,1,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°B,2,MAIO,20,18,2,90.0,True,False,fictício,6º ano
6°B,2,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,2,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°B,2,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°B,3,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°B,3,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,3,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°B,3,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°B,4,MAIO,20,16,4,80.0,True,False,fictício,6º ano
6°B,4,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,4,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°B,4,AGOSTO,20,17,3,85.0,True,False,fictício,6º ano
6°B,5,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°B,5,JUNHO,20,18,2,90.0,True,False,fictício,6º ano
6°B,5,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,5,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°B,6,MAIO,20,18,2,90.0,True,False,fictício,6º ano
6°B,6,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,6,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,6,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°B,7,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°B,7,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,7,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,7,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°B,8,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°B,8,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°B,8,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,8,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°B,9,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°B,9,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°B,9,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°B,9,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°B,10,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°B,10,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,10,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,10,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°B,11,MAIO,20,17,3,85.0,True,False,fictício,6º ano
6°B,11,JUNHO,20,18,2,90.0,True,False,fictício,6º ano
6°B,11,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°B,11,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°B,12,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°B,12,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,12,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,12,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°B,13,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°B,13,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,13,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,13,AGOSTO,20,17,3,85.0,True,False,fictício,6º ano
6°B,14,MAIO,20,18,2,90.0,True,False,fictício,6º ano
6°B,14,JUNHO,20,17,3,85.0,True,False,fictício,6º ano
6°B,14,JULHO,20,15,5,75.0,True,False,fictício,6º ano
6°B,14,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°B,15,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°B,15,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°B,15,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°B,15,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°B,16,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°B,16,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°B,16,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°B,16,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°B,17,MAIO,20,16,4,80.0,True,False,fictício,6º ano
6°B,17,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,17,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°B,17,AGOSTO,20,15,5,75.0,True,False,fictício,6º ano
6°B,18,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°B,18,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°B,18,JULHO,20,17,3,85.0,True,False,fictício,6º ano
6°B,18,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°B,19,MAIO,20,17,3,85.0,True,False,fictício,6º ano
6°B,19,JUNHO,20,18,2,90.0,True,False,fictício,6º ano
6°B,19,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°B,19,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°B,20,MAIO,20,15,5,75.0,True,False,fictício,6º ano
6°B,20,JUNHO,20,14,6,70.0,True,True,fictício,6º ano
6°B,20,JULHO,20,16,4,80.0,True,False,fictício,6º ano
6°B,20,AGOSTO,20,10,10,50.0,True,True,fictício,6º ano
6°B,21,MAIO,20,17,3,85.0,True,False,fictício,6º ano
6°B,21,JUNHO,20,18,2,90.0,True,False,fictício,6º ano
6°B,21,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,21,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°B,22,MAIO,20,18,2,90.0,True,False,fictício,6º ano
6°B,22,JUNHO,20,18,2,90.0,True,False,fictício,6º ano
6°B,22,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,22,AGOSTO,20,17,3,85.0,True,False,fictício,6º ano
6°B,23,MAIO,20,18,2,90.0,True,False,fictício,6º ano
6°B,23,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,23,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,23,AGOSTO,20,16,4,80.0,True,False,fictício,6º ano
6°B,24,MAIO,20,18,2,90.0,True,False,fictício,6º ano
6°B,24,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,24,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°B,24,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°B,25,MAIO,20,18,2,90.0,True,False,fictício,6º ano
6°B,25,JUNHO,20,17,3,85.0,True,False,fictício,6º ano
6°B,25,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°B,25,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°C,1,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°C,1,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°C,1,JULHO,20,17,3,85.0,True,False,fictício,6º ano
6°C,1,AGOSTO,20,15,5,75.0,True,False,fictício,6º ano
6°C,2,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°C,2,JUNHO,20,18,2,90.0,True,False,fictício,6º ano
6°C,2,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°C,2,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°C,3,MAIO,20,18,2,90.0,True,False,fictício,6º ano
6°C,3,JUNHO,20,14,6,70.0,True,True,fictício,6º ano
6°C,3,JULHO,20,11,9,55.0,True,True,fictício,6º ano
6°C,3,AGOSTO,20,14,6,70.0,True,True,fictício,6º ano
6°C,4,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°C,4,JUNHO,20,18,2,90.0,True,False,fictício,6º ano
6°C,4,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°C,4,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°C,5,MAIO,20,18,2,90.0,True,False,fictício,6º ano
6°C,5,JUNHO,20,18,2,90.0,True,False,fictício,6º ano
6°C,5,JULHO,20,17,3,85.0,True,False,fictício,6º ano
6°C,5,AGOSTO,20,17,3,85.0,True,False,fictício,6º ano
6°C,6,MAIO,20,12,8,60.0,True,True,fictício,6º ano
6°C,6,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°C,6,JULHO,20,12,8,60.0,True,True,fictício,6º ano
6°C,6,AGOSTO,20,15,5,75.0,True,False,fictício,6º ano
6°C,7,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°C,7,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°C,7,JULHO,20,17,3,85.0,True,False,fictício,6º ano
6°C,7,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°C,8,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°C,8,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°C,8,JULHO,20,17,3,85.0,True,False,fictício,6º ano
6°C,8,AGOSTO,20,17,3,85.0,True,False,fictício,6º ano
6°C,9,MAIO,20,16,4,80.0,True,False,fictício,6º ano
6°C,9,JUNHO,20,15,5,75.0,True,False,fictício,6º ano
6°C,9,JULHO,20,16,4,80.0,True,False,fictício,6º ano
6°C,9,AGOSTO,20,13,7,65.0,True,True,fictício,6º ano
6°C,10,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°C,10,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°C,10,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°C,10,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°C,11,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°C,11,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°C,11,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°C,11,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°C,12,MAIO,20,17,3,85.0,True,False,fictício,6º ano
6°C,12,JUNHO,20,16,4,80.0,True,False,fictício,6º ano
6°C,12,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°C,12,AGOSTO,20,17,3,85.0,True,False,fictício,6º ano
6°C,13,MAIO,20,18,2,90.0,True,False,fictício,6º ano
6°C,13,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°C,13,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°C,13,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°C,14,MAIO,20,18,2,90.0,True,False,fictício,6º ano
6°C,14,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°C,14,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°C,14,AGOSTO,20,16,4,80.0,True,False,fictício,6º ano
6°C,15,MAIO,20,11,9,55.0,True,True,fictício,6º ano
6°C,15,JUNHO,20,14,6,70.0,True,True,fictício,6º ano
6°C,15,JULHO,20,12,8,60.0,True,True,fictício,6º ano
6°C,15,AGOSTO,20,13,7,65.0,True,True,fictício,6º ano
6°C,16,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°C,16,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°C,16,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°C,16,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°C,17,MAIO,20,17,3,85.0,True,False,fictício,6º ano
6°C,17,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°C,17,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°C,17,AGOSTO,20,15,5,75.0,True,False,fictício,6º ano
6°C,18,MAIO,20,18,2,90.0,True,False,fictício,6º ano
6°C,18,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°C,18,JULHO,20,17,3,85.0,True,False,fictício,6º ano
6°C,18,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°C,19,MAIO,20,17,3,85.0,True,False,fictício,6º ano
6°C,19,JUNHO,20,18,2,90.0,True,False,fictício,6º ano
6°C,19,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°C,19,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°C,20,MAIO,20,17,3,85.0,True,False,fictício,6º ano
6°C,20,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°C,20,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°C,20,AGOSTO,20,15,5,75.0,True,False,fictício,6º ano
6°C,21,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°C,21,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°C,21,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°C,21,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°C,22,MAIO,20,17,3,85.0,True,False,fictício,6º ano
6°C,22,JUNHO,20,17,3,85.0,True,False,fictício,6º ano
6°C,22,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°C,22,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°C,23,MAIO,20,15,5,75.0,True,False,fictício,6º ano
6°C,23,JUNHO,20,18,2,90.0,True,False,fictício,6º ano
6°C,23,JULHO,20,17,3,85.0,True,False,fictício,6º ano
6°C,23,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°C,24,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°C,24,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°C,24,JULHO,20,16,4,80.0,True,False,fictício,6º ano
6°C,24,AGOSTO,20,17,3,85.0,True,False,fictício,6º ano
6°C,25,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°C,25,JUNHO,20,18,2,90.0,True,False,fictício,6º ano
6°C,25,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°C,25,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°C,26,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°C,26,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°C,26,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°C,26,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°C,27,MAIO,20,18,2,90.0,True,False,fictício,6º ano
6°C,27,JUNHO,20,18,2,90.0,True,False,fictício,6º ano
6°C,27,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°C,27,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°D,1,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°D,1,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°D,1,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°D,1,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°D,2,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°D,2,JUNHO,20,16,4,80.0,True,False,fictício,6º ano
6°D,2,JULHO,20,17,3,85.0,True,False,fictício,6º ano
6°D,2,AGOSTO,20,17,3,85.0,True,False,fictício,6º ano
6°D,3,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°D,3,JUNHO,20,12,8,60.0,True,True,fictício,6º ano
6°D,3,JULHO,20,9,11,45.0,True,True,fictício,6º ano
6°D,3,AGOSTO,20,16,4,80.0,True,False,fictício,6º ano
6°D,4,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°D,4,JUNHO,20,18,2,90.0,True,False,fictício,6º ano
6°D,4,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°D,4,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°D,5,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°D,5,JUNHO,20,18,2,90.0,True,False,fictício,6º ano
6°D,5,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°D,5,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°D,6,MAIO,20,16,4,80.0,True,False,fictício,6º ano
6°D,6,JUNHO,20,17,3,85.0,True,False,fictício,6º ano
6°D,6,JULHO,20,9,11,45.0,True,True,fictício,6º ano
6°D,6,AGOSTO,20,10,10,50.0,True,True,fictício,6º ano
6°D,7,MAIO,20,17,3,85.0,True,False,fictício,6º ano
6°D,7,JUNHO,20,17,3,85.0,True,False,fictício,6º ano
6°D,7,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°D,7,AGOSTO,20,15,5,75.0,True,False,fictício,6º ano
6°D,8,MAIO,20,15,5,75.0,True,False,fictício,6º ano
6°D,8,JUNHO,20,14,6,70.0,True,True,fictício,6º ano
6°D,8,JULHO,20,12,8,60.0,True,True,fictício,6º ano
6°D,8,AGOSTO,20,14,6,70.0,True,True,fictício,6º ano
6°D,9,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°D,9,JUNHO,20,17,3,85.0,True,False,fictício,6º ano
6°D,9,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°D,9,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°D,10,MAIO,20,18,2,90.0,True,False,fictício,6º ano
6°D,10,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°D,10,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°D,10,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°D,11,MAIO,20,15,5,75.0,True,False,fictício,6º ano
6°D,11,JUNHO,20,17,3,85.0,True,False,fictício,6º ano
6°D,11,JULHO,20,12,8,60.0,True,True,fictício,6º ano
6°D,11,AGOSTO,20,12,8,60.0,True,True,fictício,6º ano
6°D,12,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°D,12,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°D,12,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°D,12,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°D,13,MAIO,20,17,3,85.0,True,False,fictício,6º ano
6°D,13,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°D,13,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°D,13,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°D,14,MAIO,20,12,8,60.0,True,True,fictício,6º ano
6°D,14,JUNHO,20,17,3,85.0,True,False,fictício,6º ano
6°D,14,JULHO,20,12,8,60.0,True,True,fictício,6º ano
6°D,14,AGOSTO,20,8,12,40.0,True,True,fictício,6º ano
6°D,15,MAIO,20,17,3,85.0,True,False,fictício,6º ano
6°D,15,JUNHO,20,18,2,90.0,True,False,fictício,6º ano
6°D,15,JULHO,20,17,3,85.0,True,False,fictício,6º ano
6°D,15,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°D,16,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°D,16,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°D,16,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°D,16,AGOSTO,20,20,0,100.0,True,False,fictício,6º ano
6°D,17,MAIO,20,19,1,95.0,True,False,fictício,6º ano
6°D,17,JUNHO,20,19,1,95.0,True,False,fictício,6º ano
6°D,17,JULHO,20,19,1,95.0,True,False,fictício,6º ano
6°D,17,AGOSTO,20,17,3,85.0,True,False,fictício,6º ano
6°D,18,MAIO,20,20,0,100.0,True,False,fictício,6º ano
6°D,18,JUNHO,20,20,0,100.0,True,False,fictício,6º ano
6°D,18,JULHO,20,20,0,100.0,True,False,fictício,6º ano
6°D,18,AGOSTO,20,19,1,95.0,True,False,fictício,6º ano
6°D,19,MAIO,20,14,6,70.0,True,True,fictício,6º ano
6°D,19,JUNHO,20,16,4,80.0,True,False,fictício,6º ano
6°D,19,JULHO,20,18,2,90.0,True,False,fictício,6º ano
6°D,19,AGOSTO,20,18,2,90.0,True,False,fictício,6º ano
6°D,20,MAIO,20,14,6,70.0,True,True,fictício,6º ano
6°D,20,JUNHO,20,16,4,80.0,True,False,fictício,6º ano
6°D,20,JULHO,20,12,8,60.0,True,True,fictício,6º ano
